Participant,Run,IncludeRun,RunNum,TrialNum,Onset2,Response,RT,IsInterpolated,InfFeed,Posteriors
NF121,Run_01,FALSE,1,1,16,NA,NA,FALSE,inf_exp.high_pos_out,0
NF121,Run_01,FALSE,1,1,37,NA,NA,FALSE,inf_exp.high_pos_out,0
NF121,Run_01,FALSE,1,2,52,NA,NA,FALSE,inf_exp.low_pos_out,0.0421
NF121,Run_01,FALSE,1,2,73,NA,NA,FALSE,inf_exp.low_pos_out,0.0184
NF121,Run_01,FALSE,1,3,88,NA,NA,FALSE,no_inf_exp.low_neg_out,0.0622
NF121,Run_01,FALSE,1,3,110,NA,NA,FALSE,no_inf_exp.low_neg_out,0.0272
NF121,Run_01,FALSE,1,4,125,NA,NA,FALSE,no_inf_exp.high_neg_out,0.0528
NF121,Run_01,FALSE,1,4,148,NA,NA,FALSE,no_inf_exp.high_neg_out,0.0056
NF121,Run_01,FALSE,1,5,163,NA,NA,FALSE,inf_exp.low_pos_out,0.0343
NF121,Run_01,FALSE,1,5,185,NA,NA,FALSE,inf_exp.low_pos_out,-0.0366
NF121,Run_01,FALSE,1,6,200,NA,NA,FALSE,no_inf_exp.low_pos_out,0.0546
NF121,Run_01,FALSE,1,6,223,NA,NA,FALSE,no_inf_exp.low_pos_out,-0.0277
NF121,Run_01,FALSE,1,7,238,NA,NA,FALSE,inf_exp.high_pos_out,0.0641
NF121,Run_01,FALSE,1,7,261,NA,NA,FALSE,inf_exp.high_pos_out,-0.0061
NF121,Run_01,FALSE,1,8,276,NA,NA,FALSE,no_inf_exp.low_neg_out,0.1048
NF121,Run_01,FALSE,1,8,298,NA,NA,FALSE,no_inf_exp.low_neg_out,0.0118
NF121,Run_01,FALSE,1,9,313,NA,NA,FALSE,inf_exp.high_neg_out,0.0955
NF121,Run_01,FALSE,1,9,335,NA,NA,FALSE,inf_exp.high_neg_out,-0.0095
NF121,Run_01,FALSE,1,10,350,NA,NA,FALSE,inf_exp.low_neg_out,0.0514
NF121,Run_01,FALSE,1,10,371,NA,NA,FALSE,inf_exp.low_neg_out,-0.0288
NF121,Run_01,FALSE,1,11,386,NA,NA,FALSE,no_inf_exp.high_pos_out,0.0293
NF121,Run_01,FALSE,1,11,409,NA,NA,FALSE,no_inf_exp.high_pos_out,-0.0385
NF121,Run_01,FALSE,1,12,424,NA,NA,FALSE,no_inf_exp.high_neg_out,0.0481
NF121,Run_01,FALSE,1,12,445,NA,NA,FALSE,no_inf_exp.high_neg_out,0.0044
NF121,Run_02,FALSE,2,1,16,NA,NA,FALSE,no_inf_exp.low_neg_out,0.0296
NF121,Run_02,FALSE,2,1,38,NA,NA,FALSE,no_inf_exp.low_neg_out,-0.0378
NF121,Run_02,FALSE,2,2,53,NA,NA,FALSE,no_inf_exp.high_neg_out,0.0207
NF121,Run_02,FALSE,2,2,76,NA,NA,FALSE,no_inf_exp.high_neg_out,-0.058
NF121,Run_02,FALSE,2,3,91,NA,NA,FALSE,inf_exp.high_pos_out,0.0029
NF121,Run_02,FALSE,2,3,113,NA,NA,FALSE,inf_exp.high_pos_out,-0.0989
NF121,Run_02,FALSE,2,4,128,NA,NA,FALSE,inf_exp.low_pos_out,0.0449
NF121,Run_02,FALSE,2,4,149,NA,NA,FALSE,inf_exp.low_pos_out,-0.0805
NF121,Run_02,FALSE,2,5,164,NA,NA,FALSE,no_inf_exp.high_neg_out,0.065
NF121,Run_02,FALSE,2,5,185,NA,NA,FALSE,no_inf_exp.high_neg_out,-0.0717
NF121,Run_02,FALSE,2,6,200,NA,NA,FALSE,inf_exp.high_neg_out,0.0472
NF121,Run_02,FALSE,2,6,223,NA,NA,FALSE,inf_exp.high_neg_out,-0.1123
NF121,Run_02,FALSE,2,7,238,NA,NA,FALSE,no_inf_exp.low_neg_out,0.0041
NF121,Run_02,FALSE,2,7,261,NA,NA,FALSE,no_inf_exp.low_neg_out,-0.1311
NF121,Run_02,FALSE,2,8,276,NA,NA,FALSE,inf_exp.high_pos_out,-0.0039
NF121,Run_02,FALSE,2,8,297,NA,NA,FALSE,inf_exp.high_pos_out,-0.1494
NF121,Run_02,FALSE,2,9,312,NA,NA,FALSE,no_inf_exp.low_pos_out,0.0383
NF121,Run_02,FALSE,2,9,335,NA,NA,FALSE,no_inf_exp.low_pos_out,-0.131
NF121,Run_02,FALSE,2,10,350,NA,NA,FALSE,no_inf_exp.high_pos_out,0.0487
NF121,Run_02,FALSE,2,10,371,NA,NA,FALSE,no_inf_exp.high_pos_out,-0.1072
NF121,Run_02,FALSE,2,11,386,NA,NA,FALSE,inf_exp.low_neg_out,0.0681
NF121,Run_02,FALSE,2,11,408,NA,NA,FALSE,inf_exp.low_neg_out,-0.0628
NF121,Run_02,FALSE,2,12,423,NA,NA,FALSE,inf_exp.low_pos_out,0.0457
NF121,Run_02,FALSE,2,12,445,NA,NA,FALSE,inf_exp.low_pos_out,-0.0727
NF121,Run_03,TRUE,3,1,16,1,0.871300000000002,FALSE,inf_exp.low_pos_out,0.0657
NF121,Run_03,TRUE,3,1,39,1,1.175,FALSE,inf_exp.low_pos_out,-0.0639
NF121,Run_03,TRUE,3,2,54,2,0.958100000000002,FALSE,inf_exp.high_pos_out,0.0854
NF121,Run_03,TRUE,3,2,76,1,1.34829999999999,FALSE,inf_exp.high_pos_out,-0.0553
NF121,Run_03,TRUE,3,3,91,-1,1.17489999999999,FALSE,no_inf_exp.high_neg_out,0.1257
NF121,Run_03,TRUE,3,3,114,-1,1.0887,FALSE,no_inf_exp.high_neg_out,-0.0376
NF121,Run_03,TRUE,3,4,129,1,1.13239999999999,FALSE,inf_exp.low_pos_out,0.1076
NF121,Run_03,TRUE,3,4,150,1,1.1754,FALSE,inf_exp.low_pos_out,-0.0789
NF121,Run_03,TRUE,3,5,165,-1,1.9136,FALSE,no_inf_exp.high_neg_out,0.1264
NF121,Run_03,TRUE,3,5,186,0,2.7397,FALSE,no_inf_exp.high_neg_out,-0.0707
NF121,Run_03,TRUE,3,6,201,-1,1.56549999999999,FALSE,no_inf_exp.high_pos_out,0.1086
NF121,Run_03,TRUE,3,6,223,0,1.51570000000001,FALSE,no_inf_exp.high_pos_out,-0.1113
NF121,Run_03,TRUE,3,7,238,1,1.6952,FALSE,inf_exp.high_pos_out,0.1281
NF121,Run_03,TRUE,3,7,260,1,1.43680000000001,FALSE,inf_exp.high_pos_out,-0.0669
NF121,Run_03,TRUE,3,8,275,-2,1.82760000000002,FALSE,no_inf_exp.low_pos_out,0.1675
